Código Instit.;Código Curso;Nome da Instituição;Nome do Curso
140;8031;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Ciências Farmacêuticas (Preparatórios)
140;8086;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Medicina Veterinária (Preparatórios)
140;9022;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Ciências Agrárias
140;L121;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Natureza e Património
150;9181;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;História
150;9219;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Psicologia
150;9238;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Serviço Social
150;9240;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Sociologia
150;9798;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Relações Públicas e Comunicação
150;9853;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Educação Básica
150;L041;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Estudos Portugueses e Ingleses
150;L086;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Estudos Euro-Atlânticos
160;8083;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Ciclo Básico de Medicina
160;8524;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Proteção Civil e Gestão de Riscos
160;9011;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Biologia
160;9041;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Ciências do Mar
160;9384;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Informática - Redes e Multimédia
160;9864;Universidade dos Açores - Faculdade de Ciências e Tecnologia;"Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre)"
170;9081;Universidade dos Açores - Faculdade de Economia e Gestão;Economia
170;9147;Universidade dos Açores - Faculdade de Economia e Gestão;Gestão
170;9254;Universidade dos Açores - Faculdade de Economia e Gestão;Turismo
200;9351;Universidade do Algarve;Ciências Biomédicas
201;8509;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Património Cultural e Arqueologia
201;9204;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Línguas, Literaturas e Culturas
201;9219;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Psicologia
201;9817;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Artes Visuais
201;9821;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Ciências da Educação e da Formação
201;9834;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Línguas e Comunicação
203;8258;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Arquitetura Paisagista
203;9003;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Agronomia
203;9011;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Biologia
203;9013;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Biologia Marinha
203;9015;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Bioquímica
203;9016;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Biotecnologia
203;9119;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Engenharia Informática
203;9210;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Matemática Aplicada à Economia e à Gestão
203;9494;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Ciências Farmacêuticas
203;9540;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Bioengenharia
203;L123;Universidade do Algarve - Faculdade de Ciências e Tecnologia;Gestão Marinha e Costeira
204;9081;Universidade do Algarve - Faculdade de Economia;Economia
204;9152;Universidade do Algarve - Faculdade de Economia;Gestão de Empresas
204;9240;Universidade do Algarve - Faculdade de Economia;Sociologia
300;9002;Universidade de Aveiro;Administração Pública
300;9011;Universidade de Aveiro;Biologia
300;9012;Universidade de Aveiro;Biologia e Geologia
300;9015;Universidade de Aveiro;Bioquímica
300;9016;Universidade de Aveiro;Biotecnologia
300;9041;Universidade de Aveiro;Ciências do Mar
300;9069;Universidade de Aveiro;Design
300;9081;Universidade de Aveiro;Economia
300;9119;Universidade de Aveiro;Engenharia Informática
300;9141;Universidade de Aveiro;Física
300;9146;Universidade de Aveiro;Geologia
300;9147;Universidade de Aveiro;Gestão
300;9194;Universidade de Aveiro;Línguas e Estudos Editoriais
300;9196;Universidade de Aveiro;Línguas e Relações Empresariais
300;9204;Universidade de Aveiro;Línguas, Literaturas e Culturas
300;9209;Universidade de Aveiro;Matemática
300;9212;Universidade de Aveiro;Meteorologia, Oceanografia e Geofísica
300;9215;Universidade de Aveiro;Novas Tecnologias da Comunicação
300;9219;Universidade de Aveiro;Psicologia
300;9223;Universidade de Aveiro;Química
300;9252;Universidade de Aveiro;Tradução
300;9351;Universidade de Aveiro;Ciências Biomédicas
300;9359;Universidade de Aveiro;Engenharia Biomédica
300;9360;Universidade de Aveiro;Engenharia Civil
300;9361;Universidade de Aveiro;Engenharia de Computadores e Telemática
300;9363;Universidade de Aveiro;Engenharia de Materiais
300;9365;Universidade de Aveiro;Engenharia Eletrónica e Telecomunicações
300;9368;Universidade de Aveiro;Engenharia Física
300;9369;Universidade de Aveiro;Engenharia Mecânica
300;9461;Universidade de Aveiro;Engenharia Química
300;9508;Universidade de Aveiro;Engenharia do Ambiente
300;9509;Universidade de Aveiro;Engenharia e Gestão Industrial
300;9853;Universidade de Aveiro;Educação Básica
300;G009;Universidade de Aveiro;Engenharia Computacional
300;L187;Universidade de Aveiro;Gestão e Planeamento em Turismo
400;8184;Universidade da Beira Interior;Optometria e Ciências da Visão
400;8470;Universidade da Beira Interior;Engenharia Aeronáutica
400;9015;Universidade da Beira Interior;Bioquímica
400;9016;Universidade da Beira Interior;Biotecnologia
400;9020;Universidade da Beira Interior;Ciência Política e Relações Internacionais
400;9023;Universidade da Beira Interior;Ciências da Comunicação
400;9025;Universidade da Beira Interior;Ciências da Cultura
400;9048;Universidade da Beira Interior;Cinema
400;9071;Universidade da Beira Interior;Design de Moda
400;9074;Universidade da Beira Interior;Design Industrial
400;9075;Universidade da Beira Interior;Design Multimédia
400;9081;Universidade da Beira Interior;Economia
400;9104;Universidade da Beira Interior;Engenharia e Gestão Industrial
400;9105;Universidade da Beira Interior;Engenharia Eletromecânica
400;9112;Universidade da Beira Interior;Engenharia Eletrotécnica e de Computadores
400;9119;Universidade da Beira Interior;Engenharia Informática
400;9147;Universidade da Beira Interior;Gestão
400;9205;Universidade da Beira Interior;Marketing
400;9219;Universidade da Beira Interior;Psicologia
400;9225;Universidade da Beira Interior;Química Industrial
400;9240;Universidade da Beira Interior;Sociologia
400;9257;Universidade da Beira Interior;Arquitetura
400;9351;Universidade da Beira Interior;Ciências Biomédicas
400;9360;Universidade da Beira Interior;Engenharia Civil
400;9494;Universidade da Beira Interior;Ciências Farmacêuticas
400;9540;Universidade da Beira Interior;Bioengenharia
400;9707;Universidade da Beira Interior;Ciências do Desporto
400;9813;Universidade da Beira Interior;Medicina
400;9835;Universidade da Beira Interior;Matemática e Aplicações
400;9918;Universidade da Beira Interior;Estudos Portugueses e Espanhóis
400;L042;Universidade da Beira Interior;Informática Web
501;8408;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Química Medicinal
501;9011;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Biologia
501;9015;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Bioquímica
501;9104;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia e Gestão Industrial
501;9119;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Informática
501;9141;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Física
501;9146;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Geologia
501;9209;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Matemática
501;9223;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Química
501;9257;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Arquitetura
501;9359;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Biomédica
501;9360;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Civil
501;9367;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores
501;9368;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Física
501;9369;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Mecânica
501;9448;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Antropologia
501;9461;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Química
501;9508;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia do Ambiente
501;9891;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Design e Multimédia
502;8067;Universidade de Coimbra - Faculdade de Direito;Administração Público-Privada
502;9078;Universidade de Coimbra - Faculdade de Direito;Direito
503;9081;Universidade de Coimbra - Faculdade de Economia;Economia
503;9147;Universidade de Coimbra - Faculdade de Economia;Gestão
503;9229;Universidade de Coimbra - Faculdade de Economia;Relações Internacionais
