CódigoInstit;Código Curso;NomedaInstituição
0140;8031;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente
0140;8086;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente
0140;9022;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente
0140;L121;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente
0150;8082;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9181;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9219;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9238;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9240;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9798;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;9853;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;L041;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0150;L086;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas
0160;8083;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0160;8524;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0160;9011;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0160;9041;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0160;9384;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0160;9864;Universidade dos Açores - Faculdade de Ciências e Tecnologia
0170;9081;Universidade dos Açores - Faculdade de Economia e Gestão
0170;9147;Universidade dos Açores - Faculdade de Economia e Gestão
0170;9254;Universidade dos Açores - Faculdade de Economia e Gestão
0200;9351;Universidade do Algarve
0201;8509;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0201;9204;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0201;9219;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0201;9817;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0201;9821;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0201;9834;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais
0203;8258;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9003;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9011;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9013;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9015;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9016;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9119;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9210;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;9494;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0203;L123;Universidade do Algarve - Faculdade de Ciências e Tecnologia
0204;9081;Universidade do Algarve - Faculdade de Economia
0204;9152;Universidade do Algarve - Faculdade de Economia
0204;9240;Universidade do Algarve - Faculdade de Economia
0300;9002;Universidade de Aveiro
0300;9011;Universidade de Aveiro
0300;9012;Universidade de Aveiro
0300;9015;Universidade de Aveiro
0300;9016;Universidade de Aveiro
0300;9041;Universidade de Aveiro
0300;9069;Universidade de Aveiro
0300;9081;Universidade de Aveiro
0300;9119;Universidade de Aveiro
0300;9141;Universidade de Aveiro
0300;9146;Universidade de Aveiro
0300;9147;Universidade de Aveiro
0300;9194;Universidade de Aveiro
0300;9196;Universidade de Aveiro
0300;9204;Universidade de Aveiro
0300;9209;Universidade de Aveiro
0300;9212;Universidade de Aveiro
0300;9215;Universidade de Aveiro
0300;9219;Universidade de Aveiro
0300;9223;Universidade de Aveiro
0300;9252;Universidade de Aveiro
0300;9254;Universidade de Aveiro
0300;9351;Universidade de Aveiro
0300;9359;Universidade de Aveiro
0300;9360;Universidade de Aveiro
0300;9361;Universidade de Aveiro
0300;9363;Universidade de Aveiro
0300;9365;Universidade de Aveiro
0300;9368;Universidade de Aveiro
0300;9369;Universidade de Aveiro
0300;9461;Universidade de Aveiro
0300;9508;Universidade de Aveiro
0300;9509;Universidade de Aveiro
0300;9853;Universidade de Aveiro
0300;G009;Universidade de Aveiro
0400;8184;Universidade da Beira Interior
0400;8470;Universidade da Beira Interior
0400;9015;Universidade da Beira Interior
0400;9016;Universidade da Beira Interior
0400;9020;Universidade da Beira Interior
0400;9023;Universidade da Beira Interior
0400;9025;Universidade da Beira Interior
0400;9048;Universidade da Beira Interior
0400;9071;Universidade da Beira Interior
0400;9074;Universidade da Beira Interior
0400;9075;Universidade da Beira Interior
0400;9081;Universidade da Beira Interior
0400;9104;Universidade da Beira Interior
0400;9105;Universidade da Beira Interior
0400;9112;Universidade da Beira Interior
0400;9119;Universidade da Beira Interior
0400;9147;Universidade da Beira Interior
0400;9205;Universidade da Beira Interior
0400;9219;Universidade da Beira Interior
0400;9225;Universidade da Beira Interior
0400;9240;Universidade da Beira Interior
0400;9257;Universidade da Beira Interior
0400;9351;Universidade da Beira Interior
0400;9360;Universidade da Beira Interior
0400;9494;Universidade da Beira Interior
0400;9540;Universidade da Beira Interior
0400;9707;Universidade da Beira Interior
0400;9813;Universidade da Beira Interior
0400;9918;Universidade da Beira Interior
0400;L042;Universidade da Beira Interior
0501;8408;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9011;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9015;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9104;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9119;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9141;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9146;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9209;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9223;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9257;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9359;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9360;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9367;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9368;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9369;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9448;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9461;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9508;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0501;9891;Universidade de Coimbra - Faculdade de Ciências e Tecnologia
0502;8067;Universidade de Coimbra - Faculdade de Direito
0502;9078;Universidade de Coimbra - Faculdade de Direito
0503;9081;Universidade de Coimbra - Faculdade de Economia
0503;9147;Universidade de Coimbra - Faculdade de Economia
0503;9229;Universidade de Coimbra - Faculdade de Economia
0503;9240;Universidade de Coimbra - Faculdade de Economia
0504;9494;Universidade de Coimbra - Faculdade de Farmácia
0504;9819;Universidade de Coimbra - Faculdade de Farmácia
0504;9832;Universidade de Coimbra - Faculdade de Farmácia
0505;8393;Universidade de Coimbra - Faculdade de Letras
0505;9006;Universidade de Coimbra - Faculdade de Letras
0505;9132;Universidade de Coimbra - Faculdade de Letras
0505;9133;Universidade de Coimbra - Faculdade de Letras
0505;9135;Universidade de Coimbra - Faculdade de Letras
0505;9139;Universidade de Coimbra - Faculdade de Letras
0505;9143;Universidade de Coimbra - Faculdade de Letras
0505;9181;Universidade de Coimbra - Faculdade de Letras
0505;9182;Universidade de Coimbra - Faculdade de Letras
0505;9694;Universidade de Coimbra - Faculdade de Letras
0505;9773;Universidade de Coimbra - Faculdade de Letras
0505;9779;Universidade de Coimbra - Faculdade de Letras
0505;L109;Universidade de Coimbra - Faculdade de Letras
0506;9548;Universidade de Coimbra - Faculdade de Medicina
0506;9813;Universidade de Coimbra - Faculdade de Medicina
0507;9026;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação
0507;9238;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação
0507;9555;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação
0508;8368;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física
0508;9707;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física
0602;8258;Universidade de Évora - Escola de Ciências e Tecnologia
0602;8262;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9003;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9011;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9015;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9016;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9119;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9143;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9146;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9210;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9707;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9751;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9818;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9841;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9847;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9910;Universidade de Évora - Escola de Ciências e Tecnologia
0602;L090;Universidade de Évora - Escola de Ciências e Tecnologia
0603;9069;Universidade de Évora - Escola de Artes
0603;9243;Universidade de Évora - Escola de Artes
0603;9257;Universidade de Évora - Escola de Artes
0603;9347;Universidade de Évora - Escola de Artes
0604;8251;Universidade de Évora - Escola de Ciências Sociais
0604;9026;Universidade de Évora - Escola de Ciências Sociais
0604;9081;Universidade de Évora - Escola de Ciências Sociais
0604;9147;Universidade de Évora - Escola de Ciências Sociais
0604;9219;Universidade de Évora - Escola de Ciências Sociais
0604;9229;Universidade de Évora - Escola de Ciências Sociais
0604;9240;Universidade de Évora - Escola de Ciências Sociais
0604;9254;Universidade de Évora - Escola de Ciências Sociais
0604;9787;Universidade de Évora - Escola de Ciências Sociais
0604;9853;Universidade de Évora - Escola de Ciências Sociais
0604;L047;Universidade de Évora - Escola de Ciências Sociais
0901;9554;Universidade Nova de Lisboa - Faculdade de Ciências Médicas
0901;9813;Universidade Nova de Lisboa - Faculdade de Ciências Médicas
0902;8109;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9006;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9020;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9023;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9040;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9046;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
